trade_month,strategy,net_profit,trades,configs,picks
2024-07,FOLLOW_BEST,-26370.0,317,5,M5_LONDON_ORB15_INCLUDE_NEWS_RR4|ORIGINAL;M5_LONDON_ORB15_SKIP_NEWS_RR4|ORIGINAL;M15_LONDON_ORB15_INCLUDE_NEWS_RR4|ORIGINAL;M15_LONDON_ORB15_SKIP_NEWS_RR4|ORIGINAL;M15_LONDON_ORB15_INCLUDE_NEWS_RR3p5|ORIGINAL
2024-07,ALL_ORIGINAL,-811108.0,10840,162,
2024-07,ALL_R,168608.0,3690,162,
2024-07,ALL_RR,232016.0,5582,162,
2024-07,ALL_RRR,279320.0,6458,162,
2024-08,REVERSE_WORST,-15384.0,187,5,M15_LONDON_ORB60_INCLUDE_NEWS_RR1|RRR;M15_LONDON_ORB60_SKIP_NEWS_RR1|RRR;M1_LONDON_ORB60_INCLUDE_NEWS_RR2|RRR;M1_LONDON_ORB60_SKIP_NEWS_RR2|RRR;M5_LONDON_ORB30_INCLUDE_NEWS_RR1p5|RR
2024-08,KEEP_WORST,16196.0,222,5,M15_LONDON_ORB60_INCLUDE_NEWS_RR1|ORIGINAL;M15_LONDON_ORB60_SKIP_NEWS_RR1|ORIGINAL;M1_LONDON_ORB60_INCLUDE_NEWS_RR2|ORIGINAL;M1_LONDON_ORB60_SKIP_NEWS_RR2|ORIGINAL;M5_LONDON_ORB30_INCLUDE_NEWS_RR1p5|ORIGINAL
2024-08,FOLLOW_BEST,37802.0,251,5,M5_LONDON_ORB60_INCLUDE_NEWS_RR2p5|ORIGINAL;M5_LONDON_ORB60_SKIP_NEWS_RR2p5|ORIGINAL;M5_LONDON_ORB15_INCLUDE_NEWS_RR4|ORIGINAL;M5_LONDON_ORB15_SKIP_NEWS_RR4|ORIGINAL;M5_LONDON_ORB30_INCLUDE_NEWS_RR4|ORIGINAL
2024-08,ALL_ORIGINAL,963974.0,8750,162,
2024-08,ALL_R,-16172.0,3510,162,
2024-08,ALL_RR,-105318.0,5316,162,
2024-08,ALL_RRR,-112220.0,5988,162,
2024-09,REVERSE_WORST,-9291.0,137,5,M15_LONDON_ORB60_INCLUDE_NEWS_RR1|RRR;M15_LONDON_ORB60_SKIP_NEWS_RR1|RRR;M15_LONDON_ORB60_INCLUDE_NEWS_RR2p5|R;M15_LONDON_ORB60_SKIP_NEWS_RR2p5|R;M15_LONDON_ORB60_INCLUDE_NEWS_RR2|R
2024-09,KEEP_WORST,894.0,190,5,M15_LONDON_ORB60_INCLUDE_NEWS_RR1|ORIGINAL;M15_LONDON_ORB60_SKIP_NEWS_RR1|ORIGINAL;M15_LONDON_ORB60_INCLUDE_NEWS_RR2p5|ORIGINAL;M15_LONDON_ORB60_SKIP_NEWS_RR2p5|ORIGINAL;M15_LONDON_ORB60_INCLUDE_NEWS_RR2|ORIGINAL
