config,variant,trades,net,win_rate,pf,expectancy,avg_r,max_dd,max_dd_pct,recovery,months_up,months
M15_LONDON_ORB30_SKIP_NEWS_RR2p5,ORIGINAL,231.0,-35154.0,27.3,0.797,-152.2,-0.174,-51815.0,-49.14,-0.68,4.0,8.0
M15_LONDON_ORB30_SKIP_NEWS_RR2p5,R,106.0,-1688.0,34.0,0.981,-15.9,0.059,-18398.0,-16.57,-0.09,5.0,8.0
M15_LONDON_ORB30_SKIP_NEWS_RR2p5,RR,152.0,-54.0,35.5,1.0,-0.4,0.053,-20617.0,-17.85,-0.0,4.0,8.0
M15_LONDON_ORB30_SKIP_NEWS_RR2p5,RRR,161.0,5886.0,36.6,1.051,36.6,0.087,-20383.0,-17.8,0.29,4.0,8.0
M15_LONDON_ORB30_SKIP_NEWS_RR3,ORIGINAL,230.0,-54405.0,24.3,0.695,-236.5,-0.227,-64320.0,-64.78,-0.85,3.0,8.0
M15_LONDON_ORB30_SKIP_NEWS_RR3,R,106.0,-14410.0,29.2,0.843,-135.9,-0.072,-21995.0,-20.7,-0.66,5.0,8.0
M15_LONDON_ORB30_SKIP_NEWS_RR3,RR,148.0,-14765.0,31.8,0.874,-99.8,-0.052,-26895.0,-24.71,-0.55,4.0,8.0
M15_LONDON_ORB30_SKIP_NEWS_RR3,RRR,154.0,-12035.0,31.8,0.899,-78.1,-0.034,-27085.0,-24.88,-0.44,4.0,8.0
M15_LONDON_ORB30_SKIP_NEWS_RR3p5,ORIGINAL,229.0,-46790.0,24.0,0.737,-204.3,-0.201,-57975.0,-58.39,-0.81,2.0,8.0
M15_LONDON_ORB30_SKIP_NEWS_RR3p5,R,106.0,-7135.0,29.2,0.922,-67.3,0.001,-20300.0,-18.8,-0.35,5.0,8.0
M15_LONDON_ORB30_SKIP_NEWS_RR3p5,RR,146.0,-7311.0,31.5,0.937,-50.1,0.006,-24428.0,-22.15,-0.3,4.0,8.0
M15_LONDON_ORB30_SKIP_NEWS_RR3p5,RRR,152.0,-4148.0,31.6,0.965,-27.3,0.025,-25568.0,-23.18,-0.16,4.0,8.0
M15_LONDON_ORB30_SKIP_NEWS_RR4,ORIGINAL,229.0,-38310.0,24.0,0.785,-167.3,-0.157,-50215.0,-50.58,-0.76,3.0,8.0
M15_LONDON_ORB30_SKIP_NEWS_RR4,R,106.0,-10500.0,28.3,0.887,-99.1,-0.033,-22860.0,-20.77,-0.46,5.0,8.0
M15_LONDON_ORB30_SKIP_NEWS_RR4,RR,142.0,-7260.0,31.0,0.937,-51.1,0.009,-27145.0,-24.19,-0.27,5.0,8.0
M15_LONDON_ORB30_SKIP_NEWS_RR4,RRR,148.0,-3665.0,31.1,0.969,-24.8,0.032,-28020.0,-25.03,-0.13,4.0,8.0
M15_LONDON_ORB30_SKIP_NEWS_RR4p5,ORIGINAL,229.0,-33954.0,24.0,0.809,-148.3,-0.142,-46665.0,-47.0,-0.73,4.0,8.0
M15_LONDON_ORB30_SKIP_NEWS_RR4p5,R,106.0,-15813.0,26.4,0.831,-149.2,-0.111,-29387.0,-26.22,-0.54,5.0,8.0
M15_LONDON_ORB30_SKIP_NEWS_RR4p5,RR,141.0,-14897.0,29.1,0.871,-105.7,-0.059,-34797.0,-30.34,-0.43,5.0,8.0
M15_LONDON_ORB30_SKIP_NEWS_RR4p5,RRR,146.0,-10289.0,29.5,0.912,-70.5,-0.024,-29229.0,-25.7,-0.35,5.0,8.0
M15_LONDON_ORB30_SKIP_NEWS_RR5,ORIGINAL,229.0,-27340.0,24.0,0.847,-119.4,-0.112,-42440.0,-42.43,-0.64,4.0,8.0
M15_LONDON_ORB30_SKIP_NEWS_RR5,R,106.0,-13680.0,26.4,0.854,-129.1,-0.091,-28610.0,-25.27,-0.48,5.0,8.0
M15_LONDON_ORB30_SKIP_NEWS_RR5,RR,141.0,-14970.0,29.1,0.87,-106.2,-0.062,-33630.0,-29.27,-0.45,5.0,8.0
M15_LONDON_ORB30_SKIP_NEWS_RR5,RRR,146.0,-9930.0,29.5,0.915,-68.0,-0.023,-29050.0,-25.5,-0.34,5.0,8.0
M15_LONDON_ORB60_INCLUDE_NEWS_RR1,ORIGINAL,292.0,1905.0,46.2,1.01,6.5,-0.068,-31385.0,-27.12,0.06,4.0,8.0
M15_LONDON_ORB60_INCLUDE_NEWS_RR1,R,155.0,-19350.0,53.5,0.848,-124.8,0.066,-35120.0,-33.17,-0.55,3.0,8.0
M15_LONDON_ORB60_INCLUDE_NEWS_RR1,RR,250.0,-3405.0,54.4,0.981,-13.6,0.077,-26220.0,-23.79,-0.13,5.0,8.0
M15_LONDON_ORB60_INCLUDE_NEWS_RR1,RRR,283.0,-4605.0,54.1,0.976,-16.3,0.074,-28260.0,-25.51,-0.16,4.0,8.0
M15_LONDON_ORB60_INCLUDE_NEWS_RR1p5,ORIGINAL,282.0,-29416.0,36.5,0.87,-104.3,-0.124,-47551.0,-46.96,-0.62,2.0,8.0
M15_LONDON_ORB60_INCLUDE_NEWS_RR1p5,R,155.0,-4501.0,47.1,0.967,-29.0,0.133,-27686.0,-25.04,-0.16,3.0,8.0
M15_LONDON_ORB60_INCLUDE_NEWS_RR1p5,RR,231.0,6569.0,47.6,1.036,28.4,0.119,-22893.0,-20.09,0.29,5.0,8.0
M15_LONDON_ORB60_INCLUDE_NEWS_RR1p5,RRR,252.0,10572.0,48.4,1.055,42.0,0.127,-21543.0,-18.79,0.49,5.0,8.0
M15_LONDON_ORB60_INCLUDE_NEWS_RR2,ORIGINAL,280.0,-32245.0,33.6,0.861,-115.2,-0.122,-48575.0,-48.49,-0.66,3.0,8.0
M15_LONDON_ORB60_INCLUDE_NEWS_RR2,R,155.0,-21695.0,38.7,0.852,-140.0,0.018,-36065.0,-33.16,-0.6,2.0,8.0
M15_LONDON_ORB60_INCLUDE_NEWS_RR2,RR,210.0,-15940.0,40.0,0.912,-75.9,0.046,-29425.0,-26.51,-0.54,3.0,8.0
M15_LONDON_ORB60_INCLUDE_NEWS_RR2,RRR,219.0,-7460.0,41.1,0.959,-34.1,0.066,-25255.0,-22.86,-0.3,3.0,8.0
M15_LONDON_ORB60_INCLUDE_NEWS_RR2p5,ORIGINAL,279.0,-28003.0,32.3,0.88,-100.4,-0.12,-44375.0,-44.87,-0.63,4.0,8.0
M15_LONDON_ORB60_INCLUDE_NEWS_RR2p5,R,155.0,-38972.0,34.2,0.749,-251.4,-0.072,-47995.0,-44.02,-0.81,2.0,8.0
M15_LONDON_ORB60_INCLUDE_NEWS_RR2p5,RR,196.0,-29112.0,36.7,0.839,-148.5,0.001,-39205.0,-35.61,-0.74,3.0,8.0
M15_LONDON_ORB60_INCLUDE_NEWS_RR2p5,RRR,201.0,-26442.0,37.3,0.855,-131.6,0.002,-36535.0,-33.19,-0.72,3.0,8.0
M15_LONDON_ORB60_INCLUDE_NEWS_RR3,ORIGINAL,277.0,-23525.0,31.8,0.899,-84.9,-0.091,-43465.0,-43.95,-0.54,5.0,8.0
M15_LONDON_ORB60_INCLUDE_NEWS_RR3,R,155.0,-31125.0,33.5,0.8,-200.8,-0.03,-41905.0,-37.83,-0.74,2.0,8.0
M15_LONDON_ORB60_INCLUDE_NEWS_RR3,RR,193.0,-28170.0,34.7,0.846,-146.0,0.001,-40020.0,-35.78,-0.7,3.0,8.0
M15_LONDON_ORB60_INCLUDE_NEWS_RR3,RRR,194.0,-28695.0,34.5,0.843,-147.9,-0.004,-40545.0,-36.25,-0.71,3.0,8.0
