,net_profit,net_profit,net_profit,net_profit,trades,trades,trades,trades,win_rate,win_rate,win_rate,win_rate,profit_factor,profit_factor,profit_factor,profit_factor,max_dd_pct,max_dd_pct,max_dd_pct,max_dd_pct
variant,ORIGINAL,R,RR,RRR,ORIGINAL,R,RR,RRR,ORIGINAL,R,RR,RRR,ORIGINAL,R,RR,RRR,ORIGINAL,R,RR,RRR
config,,,,,,,,,,,,,,,,,,,,
M1_LONDON_ORB60_INCLUDE_NEWS_RR3p5,-50280.0,-33897.0,-19538.0,-28078.0,410.0,158.0,233.0,254.0,27.8,27.22,30.47,30.31,0.84,0.763,0.895,0.858,73.72,45.69,36.74,42.51
M1_LONDON_ORB60_INCLUDE_NEWS_RR4,-51565.0,-33195.0,-12955.0,-23275.0,409.0,158.0,229.0,247.0,27.38,27.22,31.0,30.36,0.836,0.768,0.929,0.881,75.02,45.3,32.04,39.27
M1_LONDON_ORB60_INCLUDE_NEWS_RR4p5,-46624.0,-33418.0,-13323.0,-23643.0,408.0,158.0,227.0,245.0,27.21,27.22,30.4,29.8,0.851,0.766,0.927,0.879,70.27,44.35,31.2,38.65
M1_LONDON_ORB60_INCLUDE_NEWS_RR5,-42855.0,-41710.0,-20580.0,-30900.0,408.0,158.0,224.0,242.0,26.96,26.58,29.46,28.93,0.864,0.709,0.887,0.841,68.5,49.09,36.19,42.94
M1_LONDON_ORB60_SKIP_NEWS_RR1,-35770.0,420.0,25570.0,25860.0,340.0,106.0,195.0,259.0,46.47,52.83,56.41,53.67,0.815,1.007,1.267,1.205,50.11,13.4,9.43,9.59
M1_LONDON_ORB60_SKIP_NEWS_RR1p5,-42788.0,12763.0,27767.0,27904.0,312.0,106.0,189.0,238.0,36.54,47.17,46.56,45.38,0.792,1.186,1.251,1.204,56.57,10.7,8.19,13.64
M1_LONDON_ORB60_SKIP_NEWS_RR2,-46090.0,5100.0,16625.0,13575.0,292.0,106.0,181.0,217.0,31.51,36.79,37.02,37.33,0.778,1.065,1.137,1.095,56.65,15.43,15.46,17.96
M1_LONDON_ORB60_SKIP_NEWS_RR2p5,-38151.0,-4608.0,12909.0,17303.0,288.0,106.0,170.0,196.0,29.17,32.08,35.88,36.73,0.819,0.946,1.109,1.133,50.28,18.69,11.28,11.65
M1_LONDON_ORB60_SKIP_NEWS_RR3,-34015.0,-7005.0,8615.0,3985.0,282.0,106.0,163.0,182.0,27.66,31.13,33.74,33.52,0.839,0.919,1.073,1.031,47.48,20.88,16.34,19.66
M1_LONDON_ORB60_SKIP_NEWS_RR3p5,-32719.0,-16049.0,-13968.0,-16718.0,280.0,106.0,160.0,176.0,27.14,27.36,28.75,29.55,0.845,0.822,0.886,0.871,46.45,28.26,31.87,33.88
M1_LONDON_ORB60_SKIP_NEWS_RR4,-36425.0,-15995.0,-8750.0,-13280.0,279.0,106.0,157.0,170.0,26.52,27.36,29.94,30.0,0.828,0.822,0.927,0.895,49.67,29.18,28.58,31.87
M1_LONDON_ORB60_SKIP_NEWS_RR4p5,-33856.0,-17897.0,-10583.0,-15113.0,278.0,106.0,155.0,168.0,26.26,27.36,29.03,29.17,0.84,0.801,0.912,0.88,48.18,29.51,28.95,32.09
M1_LONDON_ORB60_SKIP_NEWS_RR5,-24630.0,-23340.0,-15645.0,-20175.0,278.0,106.0,153.0,166.0,26.26,26.42,28.1,28.31,0.883,0.742,0.869,0.84,48.18,32.76,32.09,35.5
M5_LONDON_ORB15_INCLUDE_NEWS_RR1,-21135.0,13955.0,13280.0,9185.0,617.0,159.0,301.0,412.0,46.84,57.86,55.15,54.13,0.919,1.219,1.107,1.053,34.65,15.24,15.12,16.74
M5_LONDON_ORB15_INCLUDE_NEWS_RR1p5,-21383.0,24283.0,24400.0,28143.0,591.0,159.0,296.0,390.0,37.23,47.8,45.27,44.62,0.926,1.324,1.169,1.149,39.83,15.29,14.75,18.0
M5_LONDON_ORB15_INCLUDE_NEWS_RR2,-51825.0,21930.0,28915.0,22040.0,574.0,159.0,283.0,354.0,29.97,38.99,39.22,37.85,0.832,1.255,1.194,1.116,65.5,13.09,15.07,17.31
