config,variant,trades,win_rate,net_profit,profit_factor,max_dd_money,max_dd_pct,expectancy,avg_r
M15_LONDON_ORB60_SKIP_NEWS_RR2p5,RR,129,39.53,-3673.0,0.968,18858.0,16.43,-28.47,0.082
M15_LONDON_ORB60_SKIP_NEWS_RR2p5,RRR,134,40.3,-1003.0,0.991,18558.0,15.84,-7.49,0.081
M15_LONDON_ORB60_SKIP_NEWS_RR3,ORIGINAL,187,29.41,-14765.0,0.904,29790.0,29.79,-78.96,-0.156
M15_LONDON_ORB60_SKIP_NEWS_RR3,R,105,36.19,-5810.0,0.942,21795.0,18.79,-55.33,0.023
M15_LONDON_ORB60_SKIP_NEWS_RR3,RR,127,37.01,-5225.0,0.955,26500.0,22.0,-41.14,0.055
M15_LONDON_ORB60_SKIP_NEWS_RR3,RRR,128,36.72,-5750.0,0.95,27025.0,22.44,-44.92,0.046
M15_LONDON_ORB60_SKIP_NEWS_RR3p5,ORIGINAL,187,28.88,-11184.0,0.927,29790.0,29.79,-59.81,-0.156
M15_LONDON_ORB60_SKIP_NEWS_RR3p5,R,105,34.29,-10457.0,0.897,25352.0,22.07,-99.59,-0.035
M15_LONDON_ORB60_SKIP_NEWS_RR3p5,RR,124,35.48,-9369.0,0.918,29487.0,24.81,-75.56,0.009
M15_LONDON_ORB60_SKIP_NEWS_RR3p5,RRR,125,35.2,-9894.0,0.913,30012.0,25.25,-79.15,0.001
M15_LONDON_ORB60_SKIP_NEWS_RR4,ORIGINAL,187,28.88,-2760.0,0.982,29790.0,29.79,-14.76,-0.118
