timeframe,session,orb_minutes,news_mode,risk_reward,sl_range_mult,max_trades,trades_rev,net_profit_rev,profit_factor_rev,win_rate_rev,max_dd_pct_rev,avg_r_rev,trades_fwd,net_profit_fwd,profit_factor_fwd,win_rate_fwd,max_dd_pct_fwd,avg_r_fwd,edge_over_forward
M5,LONDON,15,INCLUDE_NEWS,2.5,1.5,3,216,25311.999999999243,1.128412348121651,41.2037037037037,41.0514846090985,0.10181690357295592,255,-66332.99999999965,0.7676643141100866,30.58823529411765,82.56432663365395,-0.16369497766493826,91644.9999999989
M15,LONDON,15,SKIP_NEWS,1.0,1.0,2,183,33039.99999999945,1.3831168831168767,59.01639344262295,13.425562018550485,0.1786699079987945,169,-57569.99999999986,0.6296081837483115,36.68639053254438,64.05306405306389,-0.2572237007135575,90609.9999999993
M15,LONDON,15,SKIP_NEWS,2.5,1.0,2,152,29204.999999999636,1.3009893847263678,43.42105263157895,16.697540171455774,0.3252256149090672,164,-61139.999999999796,0.6514253135689861,25.0,62.9149999999998,-0.26176671691657993,90344.99999999943
M1,LONDON,60,INCLUDE_NEWS,1.5,0.5,2,283,33870.00000000073,1.216055879820118,47.349823321554766,13.548267154166796,0.17329717596959177,283,-55122.999999999374,0.7450841657417708,33.215547703180206,68.013,-0.17535249786904136,88993.0000000001
M1,LONDON,30,SKIP_NEWS,1.0,1.0,3,248,42340.000000000495,1.2861390822464043,57.25806451612904,15.314032589779897,0.12100400334300053,238,-46089.99999999992,0.766821815238289,42.016806722689076,55.39244470542174,-0.12682550337927093,88430.00000000041
M5,LONDON,60,INCLUDE_NEWS,1.0,0.75,3,311,54289.999999999854,1.2873292510598207,56.27009646302251,9.593515606097167,0.11394525850104911,289,-34026.99999999914,0.8631293567759585,44.636678200692046,48.94499999999917,-0.09020794346814216,88316.999999999
M5,LONDON,15,SKIP_NEWS,2.5,1.5,3,149,13190.999999999432,1.1005373270835677,38.25503355704698,24.173000000000027,-0.006459601119919093,183,-74912.00000000015,0.6577485380116954,27.86885245901639,83.5750000000002,-0.22496234820935462,88102.99999999958
M5,LONDON,30,SKIP_NEWS,1.0,0.75,3,261,40532.000000000175,1.3463089542036943,56.32183908045977,10.781192842632896,0.12915584594825838,241,-47460.99999999932,0.7352718064278643,41.49377593360996,61.37682433620476,-0.1582909941067545,87992.9999999995
M15,LONDON,15,SKIP_NEWS,3.0,0.5,3,218,41719.999999999854,1.5142681047765814,37.61467889908257,9.905100830367791,0.4433693916379776,234,-46014.999999999505,0.7259462195884595,21.794871794871796,51.899999999999366,-0.27023726107506296,87734.99999999936
M5,LONDON,15,SKIP_NEWS,1.5,1.5,2,156,29675.999999999272,1.2427782550006072,48.07692307692308,16.05866793004082,0.11377601229846253,162,-58001.0,0.6976201027031255,30.864197530864196,63.90800000000005,-0.22763884162080217,87676.99999999927
M15,LONDON,60,SKIP_NEWS,1.0,1.0,2,153,58440.00000000009,1.5927578861953602,62.091503267973856,11.113432212241513,0.2165514800637342,141,-29170.000000000146,0.8046869768998988,39.71631205673759,38.6500000000001,-0.15571396350138386,87610.00000000023
M5,LONDON,30,SKIP_NEWS,1.0,1.0,3,232,39989.999999999476,1.2951727192205456,57.758620689655174,13.759645503858259,0.1270761119869565,207,-47519.99999999941,0.7439655172413819,41.06280193236715,65.64536523684387,-0.14230375801627257,87509.9999999989
